node_id,node_type,natural_key,label,domain,source_id,vintage_id,path,sha256
indicator_cell:08e4d6d55af0774caa62,indicator_cell,94651a48df17d3b56a1b,sdg08_productivity_growth|2023|1700,economy,,,,
indicator_cell:44587469161d5e598f2a,indicator_cell,71a013b45f47a8aefa7d,sdg08_productivity_growth|2023|2100,economy,,,,
indicator_cell:55e36c8d23c81a7e5e6f,indicator_cell,5b5eeef107bb6f124496,sdg07_renewable_share|2023|9999,energy,,,,
indicator_cell:5fd7f1c394470ba4a878,indicator_cell,e33e2f8351747300cba7,sdg08_productivity_growth|2023|7600,economy,,,,
indicator_cell:7893e69f53cf7b6d0284,indicator_cell,425bfdd5ca02ab3e3cc1,sdg08_productivity_growth|2023|8200,economy,,,,
indicator_cell:932a2e3f54ff599be81b,indicator_cell,1c03a76cb6a98f53235d,sdg08_productivity_growth|2022|2100,economy,,,,
indicator_cell:9f4335805533dc1644dc,indicator_cell,3087bf08970908c509ca,sdg08_productivity_growth|2023|6500,economy,,,,
indicator_cell:aab555ad4759ae18ba76,indicator_cell,05ae4dff5d60b5021813,sdg08_gdp_per_capita_growth|2021|9999,economy,,,,
indicator_cell:ae652356f54e9da22915,indicator_cell,af12d1ae8c1555d899be,sdg08_productivity_growth|2022|5300,economy,,,,
indicator_cell:c4a866eca4b16dd78a5b,indicator_cell,53b2a1ef09a68d6c5173,sdg08_gdp_per_capita_growth|2020|9999,economy,,,,
indicator_cell:de3c26510b8871e0d687,indicator_cell,7e097ceb497e25947325,sdg15_forest_cover|2022|9999,ecology,,,,
indicator_cell:e30254e6593a5ad1768e,indicator_cell,4aab4307f4906503d2a4,sdg08_productivity_growth|2022|7600,economy,,,,
indicator_cell:f70883b0424bebcca783,indicator_cell,e4982bb0d13ac08094aa,sdg08_productivity_growth|2023|5300,economy,,,,
indicator_cell:feb2ac97cbf469e6c701,indicator_cell,7c1c5248808f73b2f3a6,sdg08_productivity_growth|2022|9100,economy,,,,
ingestion_batch:262525ea522552e448f9,ingestion_batch,h4-2981e0fb3bc2d960,h4-2981e0fb3bc2d960,,,,,
observation:04df2a67b487f338de1b,observation,5fab5a82719cacffcbe4,5fab5a82719cacffcbe4,economy,bps_tpb_2025,9ab2011a3892edfac889,,
observation:0970843830c2ae7c8503,observation,f2b9db071dd4766d6307,f2b9db071dd4766d6307,economy,bps_tpb_2025,9ab2011a3892edfac889,,
observation:1b7b7decaafba2e44741,observation,f831d08aa91c95864cd0,f831d08aa91c95864cd0,economy,bps_tpb_2024,aa7252a58f41161c17c3,,
observation:1ecfe2896341b81743b9,observation,edde0b27f2f31f5fb962,edde0b27f2f31f5fb962,energy,bps_tpb_2025,9ab2011a3892edfac889,,
observation:202f97684ab8629aa916,observation,d3d17696ddd6a7bcb743,d3d17696ddd6a7bcb743,economy,bps_webapi,b132d2fab33291e0733e,,
observation:294d2d83bf86fa753446,observation,6fbf4aae1b9a6de0051a,6fbf4aae1b9a6de0051a,economy,bps_tpb_2024,aa7252a58f41161c17c3,,
observation:31d333568319d88d97b2,observation,a16c09b869c2ad72a4ea,a16c09b869c2ad72a4ea,economy,bps_tpb_2024,aa7252a58f41161c17c3,,
observation:389c8092fc51c52bc4eb,observation,6ad6dfc4b05d0f292d1f,6ad6dfc4b05d0f292d1f,economy,bps_tpb_2024,aa7252a58f41161c17c3,,
observation:3a58dba97aae26b9300b,observation,cb0d5147421c66597d95,cb0d5147421c66597d95,economy,bps_webapi,b132d2fab33291e0733e,,
observation:3b1d7e44c2f83aa6fe02,observation,deabb3549fa520121850,deabb3549fa520121850,economy,bps_tpb_2025,9ab2011a3892edfac889,,
